Designator,Footprint,Quantity,Value,LCSC Part #
"SW1, SW2, SW3",SW_Cherry_MX_1.00u_PCB,3,SW_Push,
U1,XIAO-RP2040-DIP,1,XIAO-SAMD21-SMD,
